Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
12,22,46.18,0.00,15330
12,23,43.78,0.00,15312
12,24,42.96,0.00,15169
12,25,42.69,0.00,15205
12,26,43.17,0.00,15640
12,27,43.23,0.00,15265
12,28,43.18,0.00,15342
12,29,44.00,0.00,14899
12,30,43.78,0.00,14868
12,31,43.45,0.00,14753
12,32,43.42,0.00,14977
12,33,42.24,0.00,15751
12,34,42.53,0.00,15467
12,35,44.19,0.00,14743
12,36,42.67,0.00,15107
12,37,43.52,0.00,14749
12,38,43.85,0.00,14922
12,39,43.35,0.00,15555
12,40,42.92,0.00,14911
12,41,43.20,0.00,15115
12,42,43.39,0.00,15042
12,43,42.25,0.00,15433
12,44,43.06,0.00,15077
12,45,43.12,0.00,15023
12,46,43.66,0.00,15597
12,47,42.51,0.00,15235
12,48,43.01,0.00,15362
12,49,42.96,0.00,15189
12,50,43.61,0.00,15175
13,1,97.69,0.00,3278
13,2,73.70,0.00,5687
13,3,56.99,0.00,7382
13,4,59.85,0.00,7868
13,5,61.11,0.00,8120
13,6,62.35,0.00,8701
13,7,65.34,0.00,8886
13,8,64.54,0.00,9259
13,9,66.62,0.00,9620
13,10,66.17,0.00,10104
13,11,64.76,0.00,10708
13,12,64.78,0.00,11124
13,13,65.36,0.00,11911
13,14,63.65,0.00,12009
13,15,61.68,0.00,12819
13,16,59.47,0.00,13110
13,17,57.86,0.00,13641
13,18,55.15,0.00,14095
13,19,52.41,0.00,14768
13,20,48.87,0.00,14931
13,21,47.68,0.00,14948
13,22,44.98,0.00,15524
13,23,43.77,0.00,15758
13,24,43.17,0.00,16200
13,25,42.68,0.00,15815
13,26,42.35,0.00,15951
13,27,42.55,0.00,16401
13,28,42.54,0.00,15921
13,29,41.89,0.00,15928
13,30,42.61,0.00,15629
13,31,41.15,0.00,15766
13,32,41.33,0.00,15427
13,33,42.22,0.00,15804
13,34,42.55,0.00,15612
13,35,41.25,0.00,15927
13,36,42.76,0.00,15477
13,37,41.86,0.00,15950
13,38,42.78,0.00,15523
13,39,42.66,0.00,15376
13,40,41.55,0.00,16014
13,41,42.79,0.00,15447
13,42,42.28,0.00,15555
13,43,42.48,0.00,15553
13,44,42.04,0.00,16203
13,45,42.44,0.00,16057
13,46,41.63,0.00,16004
13,47,41.64,0.00,16016
13,48,42.23,0.00,15812
13,49,42.32,0.00,15895
13,50,42.58,0.00,15459
14,1,100.38,0.00,3344
14,2,72.93,0.00,5831
14,3,57.53,0.00,7461
14,4,59.13,0.00,7817
14,5,61.08,0.00,8295
14,6,63.35,0.00,8725
14,7,65.73,0.00,9129
14,8,64.47,0.00,9264
14,9,66.01,0.00,9687
